Label,New_label
Central California Coast,Central California Coast Ranges and Coast
Southern California Coast,Southern California Coast
Great Valley,Central Valley
Northern California Coast,Northern California Coast Ranges and Coast
Mojave Desert,Mojave Sonoran
Sonoran Desert,Mojave Sonoran
Colorado Desert,Colorado Desert
Mono,Basin
Southeastern Great Basin,Basin
Northwestern Basin and Range,Basin
Klamath Mountains,Klamath Mountains
Northern California Coast Ranges,Northern California Coast Ranges and Coast
Northern California Interior Coast Ranges,Northern California Coast Ranges and Coast
Southern Cascades,Southern Cascades
Sierra Nevada,Sierra Nevada
Sierra Nevada Foothills,Sierra Nevada
Modoc Plateau,Modoc Plateau
Central Valley Coast Ranges,Central California Coast Ranges and Coast
Southern California Mountains and Valleys,Southern California Mountains and Valleys